nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,3,1009040.5,14.865565314,10.544211475,8.136214465,8.201039347,8.028348352
2,3,1012050.25,18.870453167,11.560799999,9.562085076,9.555222749,9.560561231
4,3,1013399.5,22.066845874,10.983064791,9.790341646,9.709508353,9.756809856
8,3,1015863.0625,30.265189025,12.085040136,10.715670697,10.558147349,10.618066692
16,3,1017910.5625,42.839793142,12.789218209,10.942312854,11.422711731,11.206866257
32,3,1018180.28125,82.553535782,15.912136491,13.893973846,13.968464152,14.045875003
64,3,1018841.3125,166.701428456,20.693777751,17.345146283,16.955209993,17.006094571
128,3,1019450.671875,340.948802782,21.808652509,18.493514498,18.328623742,18.585937878
256,3,1020054.08984375,680.504458708,39.605477086,19.607152491,19.539166486,19.539495343
