nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,apply0,apply1,apply2,apply3,apply4,apply5
256,552301.pbs-6,3,202754.640625,399.35640392,0.062187755,0.062080447,0.066179638,0.063082831,0.060471565,0.112831018
1,552332.pbs-6,3,211046.5,7.669113409,0.022539763,0.023642072,0.022869803,0.021328272,0.021902113,0.023045115
2,552332.pbs-6,3,206998.25,8.791811187,0.027413061,0.026268424,0.027639863,0.027937016,0.026258186,0.02624861
4,552332.pbs-6,3,198019.375,10.678598497,0.027343744,0.026705045,0.028092769,0.027988167,0.026632594,0.026605168
8,552332.pbs-6,3,197744.1875,12.78191689,0.030476209,0.029834334,0.031200189,0.031241615,0.029624659,0.029734606
16,552332.pbs-6,3,196575.53125,18.460983924,0.035924508,0.035594625,0.037067796,0.036617525,0.035285265,0.03517488
32,552332.pbs-6,3,199511.046875,35.925039585,0.049558226,0.049744386,0.051459575,0.051023783,0.051464258,0.04942078
64,552332.pbs-6,3,198945.6484375,72.384062408,0.060988763,0.056562679,0.056799778,0.056574008,0.056272981,0.05598815
128,552332.pbs-6,3,197536.96484375,147.069308726,0.090748358,0.087626538,0.089483842,0.055503863,0.081485707,0.061594608
256,552332.pbs-6,3,202754.640625,367.526781896,0.063610499,0.064825154,0.069969446,0.068475322,0.066369235,0.084048931
