nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,552478.pbs-6,1,200245.5,180.422207917,4.400382252,2.148583572,2.228754554,2.15293459
2,552478.pbs-6,1,198560.25,224.340676889,4.338833553,2.337695328,2.324294078,2.353597192
4,552478.pbs-6,1,197880.625,262.245730681,4.58379339,2.479187992,2.518164694,2.478009069
8,552478.pbs-6,1,200245.5,348.849284881,4.988300894,2.718325946,2.6744548,2.648993011
16,552478.pbs-6,1,202639.75,516.577364151,5.360577905,2.994732485,2.994672187,2.977110462
32,552478.pbs-6,1,201106.6875,951.308027829,6.583025597,3.738261529,3.726944058,3.696339009
64,552478.pbs-6,1,201512.4453125,2315.621498811,8.902348681,4.935355235,4.588463173,4.599562108
1,553658.pbs-6,1,200245.5,231.555764557,8.567755511,2.265022714,2.303090727,2.282506726
2,553658.pbs-6,1,198560.25,331.374471698,4.732993339,2.458557575,2.421167014,2.411867513
4,553658.pbs-6,1,197880.625,487.529961242,4.819219099,2.51264302,2.547982485,2.505136523
8,553658.pbs-6,1,200245.5,802.850822149,4.923547862,2.812696379,2.800716902,2.810400144
16,553658.pbs-6,1,202639.75,1458.014164659,5.422293885,3.111784576,3.131996947,3.148014257
32,553658.pbs-6,1,201106.6875,3218.027589725,6.798857089,3.895042203,3.911003032,3.839422203
